Name,City,District,Street,Postal Address,Phone,Votes,Rating Stars,Kind,Site
Hoqqa restoranı,Bakı,Nəsimi rayonu,Səməd Vurğun küçəsi,120B AZ1000,(+99412) 541-61-06,No Rating,4,Türk mətbəxi,No Site
House of Sultan Restoranı,Bakı,Səbail rayonu,Böyük Qala küçəsi,20 AZ1000,(+99412) 437-23-05,*** 1 səs,5,Restoranlar,http://www.sultaninn.com
IL Patio Fəvvarələr m.,Bakı,Səbail rayonu,Tərlan Əliyarbəyov küçəsi,14 AZ1000,(+99412) 493-49-03,No Rating,4,Pizza,http://www.facebook.com/pages/IL-PATIOBaku/119919734758022
IL Patio restoranı,Bakı,Səbail rayonu,Neftçilər prospekti AZ1000,No Postal Address,(+99412) 598-73-98,No Rating,4,Pizza,http://www.facebook.com/pages/IL-PATIOBaku/119919734758022
Imereti restoranı,Bakı,Səbail rayonu,Rəsul Rza küçəsi,31 AZ1000,(+99412) 595-45-10,*** 4 səs,5,Gürcü mətbəxi,http://www.facebook.com/ImeretiGeorgianRestaurant
Imereti restoranı Sahil m.,Bakı,Səbail rayonu,Хaqani küçəsi,13 AZ1000,(+99412) 493-41-81,No Rating,4,Gürcü mətbəxi,http://www.facebook.com/ImeretiRestaurant
Ipək yolu restoranı,Bakı,Binəqədi rayonu,Ziya Bünyatov prospekti,7A AZ1106,(+99412) 441-10-48,No Rating,4,Restoranlar,No Site
Istanbul Köftesi,Bakı,Xətai rayonu,Nobel prospekti AZ1000,No Postal Address,(+99451) 984 97 97,*** 2 səs,5,Türk mətbəxi,No Site
Istanbul Lahmacun,Bakı,Yasamal rayonu,Mirəli Seyidov küçəsi,2934 AZ1000,(+99412) 433-23-83,*** 4 səs,5,Türk mətbəxi,No Site
Istanbul Meyhane,Bakı,Nərimanov rayonu,Ceyhun Hacıbəyli küçəsi,761 AZ1007,(+99450) 263-66-66,No Rating,4,Türk mətbəxi,No Site
Istanbul restoranı,Bakı,Binəqədi rayonu,Səttar Bəhlulzadə küçəsi,19 AZ1000,(+99412) 569-89-05,No Rating,3,Türk mətbəxi,No Site
İstiot 28 Mall,Bakı,Nəsimi rayonu,Füzuli küçəsi AZ1000,No Postal Address,(+99450) 210-50-81,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/mall28istiot
Istirahət restoranı,Bakı,Xətai rayonu,Həsən Salmani küçəsi,7 АZ1000,(+99412) 490-13-14,*** 2 səs,5,Kafelər,http://www.facebook.com/pages/Otdix/148240421909118
Italian Bistro,Bakı,Səbail rayonu,Mehdi Hüseynzadə küçəsi,1 AZ1000,(+99412) 565-48-48,*** 2 səs,5,Pizza,http://www.fairmont.com
Iveria restoranı,Bakı,Yasamal rayonu,İnşaatçılar prospekti,11 AZ1065,(+99412) 555-23-25,No Rating,4,Gürcü mətbəxi,No Site
Jaguar Cognac Bar,Bakı,Nərimanov rayonu,Məmməd Araz küçəsi,76 AZ1069,(+99412) 564-77-00,No Rating,4,Restoranlar,http://www.ramadahotelsuitesbaku.az
Jasmine Restoran,Bakı,Nəsimi rayonu,Bakıxanov küçəsi,6 AZ1022,(+99412) 404-54-04,*** 4 səs,5,Asiya mətbəxi,http://www.bic.az
Juma Restaurant & Sushi Bar,Bakı,Binəqədi rayonu,Əhməd Rəcəbli küçəsi,30/68 AZ1108,(+99450) 422-25-22,*** 3 səs,5,Suşi,http://www.juma.az
Kabab Evi Dalğa Beach,Bakı,Mərdəkan qəsəbəsi,Xəzər rayonu,Sahil,(+99412) 565-55-35,No Rating,4,Azərbaycan mətbəxi,http://www.dalgabeach.az
Kaktus restoranı,Bakı,Yasamal rayonu,Şərifzadə küçəsi,33 AZ1138,(+99412) 433-29-29,No Rating,4,Restoranlar,No Site
Kalinka restoranı,Bakı,Nəsimi rayonu,Füzuli küçəsi AZ1000,No Postal Address,(+99412) 499-87-72,*** 1 səs,5,Restoranlar,http://www.facebook.com/KALINKA.BAKU
Kalinka restoranı Park Bulvar,Bakı,Səbail rayonu,Neftçilər prospekti AZ1000,No Postal Address,(+99412) 598-73-23,*** 2 səs,5,Restoranlar,http://www.facebook.com/KALINKA.BAKU
Karvansaray Restoran,Bakı,Səbail rayonu,Böyük Qala küçəsi,11 AZ1000,(+99412) 492-66-68,*** 2 səs,5,Restoranlar,No Site
Kaspia Restaurant & Bar,Bakı,Səbail rayonu,Neftçilər prospekti,77/79 AZ1000,(+99412) 404-24-24,No Rating,4,Restoranlar,No Site
Katamaran Restoranı,Bakı,Novхanı qəsəbəsi,Sumqayıt şossesi AZ1000,No Postal Address,(+99470) 287-70-63,No Rating,4,Restoranlar,http://www.katamaran.az
Kebab Express,Bakı,Səbail rayonu,Mərdanov qardaşları küçəsi,6 AZ1000,(+99412) 498-98-22,*** 2 səs,5,Türk mətbəxi,No Site
Kebab House,Bakı,Səbail rayonu,Abdulkərim Əlizadə küçəsi,7 AZ1000,(+99412) 498-93-53,*** 3 səs,5,Kafelər,http://www.facebook.com/pages/KEBAB-HOUSE/788355761219631
Keyf-i Dem Restaurant and Lounge,Bakı,Nərimanov rayonu,Akademik Həsən Əliyev küçəsi,119 AZ1000,(+99455) 555-41-48,*** 1 səs,5,Restoranlar,http://www.facebook.com/Keyf-i-Dem-568041206631970
Kitchenette Baku,Bakı,Səbail rayonu,Neftçilər prospekti AZ1001,No Postal Address,(+99412) 598-74-24,No Rating,4,Kafelər,No Site
Köhnə Dəyirman Restoranı,Bakı,Xətai rayonu,Məhəmməd Hadi küçəsi,66 AZ1000,(+99455) 581-23-23,*** 8 səs,5,Azərbaycan mətbəxi,No Site
Köhnə Şəhər restoranı,Bakı,Səbail rayonu,Vəli Məmmədov küçəsi,24 AZ1000,(+99412) 492-05-55,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/OldCityRestaurant/timeline?filter=3
Kolorit Cafe&Dining,Bakı,Səbail rayonu,Nizami küçəsi,83 AZ1000,(+99412) 498-88-71,*** 2 səs,5,Kafelər,http://www.facebook.com/Koloritcafe
Konak Lahmacun,Bakı,4-cü mikrorayon,Hüseyn Seyidzadə küçəsi,32 AZ1000,(+99412) 480-42-20,*** 1 səs,5,Türk mətbəxi,No Site
Korchma restoran,Bakı,28 May küçəsi,Nəsimi rayonu,3 AZ1000,(+99412) 408-38-21,No Rating,4,Restoranlar,No Site
Köşebaşı restoranı,Bakı,Nərimanov rayonu,Həsənoğlu küçəsi,15A AZ1000,(+99412) 564-85-00,No Rating,4,Türk mətbəxi,http://www.kosebasi.com.tr
Kourosh Restoranı,Bakı,Yasamal rayonu,Bəsti Bağırova küçəsi,607/609 AZ1000,(+99412) 436-81-77,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/kouroshrestaurant?fref=ts
Küçük Fırın,Bakı,Xətai rayonu,Məhəmməd Hadi küçəsi,73 AZ1000,(+99412) 371-66-69,*** 2 səs,5,Türk mətbəxi,No Site
Kürə Pizza Azadlıq m.,Bakı,Binəqədi rayonu,Cəfər Xəndan küçəsi,52 AZ1000,(+99412) 511-07-52,*** 2 səs,5,Pizza,http://www.kurepizza.com
Kürə Pizza Elmlər Akademiyası m.,Bakı,Yasamal rayonu,Zahid Xəlilov küçəsi,79A AZ1000,(+99412) 555-22-22,*** 2 səs,5,Pizza,http://www.kurepizza.com
Kəmər Restaurant & Pub,Bakı,Xətai rayonu,Məhəmməd Hadi küçəsi,76 AZ1000,(+99412) 579-30-20,*** 2 səs,5,Restoranlar,No Site
La Marea Fish Restaurant,Bakı,Xətai rayonu,Nobel prospekti,15 AZ1025,(+99412) 488-65-55,*** 5 səs,5,Restoranlar,No Site
La Marrakesh restoranı,Bakı,Səbail rayonu,Cəfərov qardaşları küçəsi,9 AZ1000,(+99412) 492-68-72,*** 1 səs,5,Şərq mətbəxi,http://www.facebook.com/pages/La-Marakesh/191380714207437
La Strada restoranı,Bakı,Nəsimi rayonu,Dilarə Əliyeva küçəsi,206 AZ1000,(+99412) 498-22-12,*** 4 səs,5,Pizza,http://www.lastrada.az
La Terrasse restoran,Bakı,Xətai rayonu,Nobel prospekti,15 AZ1000,(+99412) 488-63-32,No Rating,,Restoranlar,http://www.facebook.com/laterrassebaku/timeline?ref=page_internal
La Vita Cafe,Bakı,Səbail rayonu,Neftçilər prospekti AZ1001,No Postal Address,(+99412) 598-74-54,*** 2 səs,5,Kafelər,http://www.facebook.com/pages/Lavita-Ristorante/425713400556
La Vita Cafe,Bakı,Nərimanov rayonu,Təbriz küçəsi,44 AZ1000,(+99412) 566-28-10,*** 1 səs,5,Kafelər,http://www.facebook.com/pages/La-Vita/281311228549545?sk=timeline
Lahmacun 24 Saat,Bakı,Yasamal rayonu,Həsənbəy Zərdabi küçəsi,65 AZ1000,(+99412) 432-80-20,*** 2 səs,5,Türk mətbəxi,No Site
Lalə restoranı,Bakı,Nərimanov rayonu,Fətəli xan Xoyski küçəsi,109 AZ1033,(+99412) 465-62-05,No Rating,4,Restoranlar,No Site
Laparte restoranı,Bakı,Səbail rayonu,İstiqlaliyyət küçəsi,51 AZ1000,(+99412) 497-77-79,No Rating,4,Restoranlar,http://www.facebook.com/pages/Laparte/188417864542236
Le Cafe,Bakı,Səbail rayonu,Səftər Quliyev küçəsi,7 AZ1000,(+99412) 497-24-97,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/LeCafeBaku?fref=ts
Legato Palace,Bakı,Yasamal rayonu,Fuad İbrahimbəyov küçəsi,15 AZ1065,(+99412) 497-33-10,*** 2 səs,5,Şadlıq evləri,http://www.facebook.com/pages/Legato-Palace-Şadlıq-Sarayı/1482514738633870?fref=ts
Level Lounge & Karaoke,Bakı,Nərimanov rayonu,Təbriz küçəsi,239 AZ1000,(+99412) 514-45-42,No Rating,3,Fast-fud,http://www.facebook.com/levelloungekaraoke
Lezzet İstanbul 28 Mall,Bakı,Nəsimi rayonu,Füzuli küçəsi AZ1000,No Postal Address,(+99412) 503-90-91,*** 1 səs,5,Türk mətbəxi,No Site
Lido restoranı,Bakı,Binəqədi rayonu,Atatürk prospekti,69 AZ1000,(+99412) 436-20-21,No Rating,,Restoranlar,http://www.lido.az
Liman restoranı,Bakı,Xətai rayonu,Afiyəddin Cəlilov küçəsi,4A,(+99412) 496-42-46,*** 1 səs,5,Azərbaycan mətbəxi,No Site
Limon Restoranı,Bakı,20 Yanvar küçəsi,Nəsimi rayonu,37A AZ1000,(+99412) 569-02-92,No Rating,4,Restoranlar,No Site
Lord restoranı,Bakı,Xətai rayonu,Yusif Səfərov küçəsi,23A AZ1025,(+99412) 496-49-99,No Rating,,Restoranlar,http://www.crystal.az
Ləziz Dad,Bakı,Xətai rayonu,Gəncə prospekti,27 AZ1000,(+99412) 372-66-52,*** 4 səs,5,Kafelər,No Site
M'EAT Restaurant,Bakı,Səbail rayonu,Səməd Vurğun küçəsi AZ1095,No Postal Address,(+99412) 310-19-19,No Rating,4,Restoranlar,http://www.facebook.com/meatbybeat/timeline
Mado Japanese Restaurant,Bakı,Yasamal rayonu,İnşaatçılar prospekti,33 AZ1010,(+99412) 497-55-44,*** 4 səs,5,Asiya mətbəxi,http://www.madobaku.az
Maestro Restaurant,Bakı,Yasamal rayonu,Bəsti Bağırova küçəsi,2 AZ1065,(+99412) 436-97-50,*** 2 səs,5,Suşi,http://www.facebook.com/MaestroRestaurant
Maharaja restoranı,Bakı,Səbail rayonu,Abdulkərim Əlizadə küçəsi,6 AZ1000,(+99412) 492-43-34,*** 2 səs,5,Şərq mətbəxi,No Site
Mala Praga restoranı,Bakı,Xətai rayonu,Babək prospekti,56 AZ1000,(+99412) 570-42-42,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Mala-Praga/142448399158401
Mali Club,Bakı,Nərimanov rayonu,Fətəli xan Xoyski prospekti,222 B AZ1000,(+99412) 567-00-99,*** 1 səs,5,Restoranlar,No Site
Mangal Steak House,Bakı,Səbail rayonu,Mirzə Mustafayev küçəsi,3 AZ1000,(+99412) 505-10-11,*** 3 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/Mangal.Steak.House1/timeline
Manqal Restoranı,Bakı,Səbail rayonu,Kiçik Qala küçəsi,126 AZ1000,(+99455) 920-10-15,*** 3 səs,5,Azərbaycan mətbəxi,http://www.manqal.az
Manqalüstü Restoran,Bakı,Nizami rayonu,Bəkir Çobanzadə küçəsi,216 AZ1060,(+99412) 375-04-04,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/manqalustu/timeline
Marco Polo restoranı,Bakı,Səbail rayonu,Хaqani küçəsi,17 AZ1000,(+99412) 493-31-32,No Rating,4,Restoranlar,No Site
Mari Vanna restoranı,Bakı,Səbail rayonu,Zərifə Əliyeva küçəsi,93 AZ1010,(+99412) 404-95-95,No Rating,4,Restoranlar,http://www.marivanna.az
Marina Restoranı,Bakı,Səbail rayonu,Neftçilər prospekti,54 AZ1000,(+99412) 493-90-92,No Rating,4,Restoranlar,http://www.facebook.com/marinarestaurantbaku
Marmaris Restoranı,Bakı,2-ci mikrorayon,Hüseynbala Əliyev küçəsi,3 АZ1000,(+99412) 431-02-15,No Rating,4,Türk mətbəxi,http://www.facebook.com/marmarisrestaurant
Masa Cafe,Bakı,Nəsimi rayonu,Mərdanov qardaşları küçəsi,15A AZ1022,(+99451) 488-62-82,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/masa.baku/timeline?ref=page_internal
Masu restoranı,Bakı,Səbail rayonu,Neftçilər prospekti,153 AZ1010,(+99412) 404-82-04,No Rating,4,Asiya mətbəxi,http://www.portbaku-dining.az
Maya Mexican Restaurant & Bar,Bakı,Bayıl qəsəbəsi,Səbail rayonu,Neftçilər prospekti AZ1010,(+99412) 404-82-16,*** 2 səs,5,Restoranlar,http://www.saffron.az
Mayak 13 Art Cafe,Bakı,Səbail rayonu,Kiçik Qala küçəsi,54 AZ1000,(+99412) 505-03-04,No Rating,4,Azərbaycan mətbəxi,http://www.instagram.com/mayak_13/
Mayak Restoranı Dalğa Beach,Bakı,Mərdəkan qəsəbəsi,Xəzər rayonu,Sahil,(+99412) 565-55-35,No Rating,4,Restoranlar,http://www.dalgabeach.az
Meating Point,Bakı,Səbail rayonu,Təbriz Xəlilbəyli küçəsi,6 AZ1000,(+99412) 492-92-82,*** 1 səs,5,Fast-fud,http://www.facebook.com/Meatingpointbaku
Megapolis Club,Bakı,Nəsimi rayonu,Bakıxanov küçəsi,19 AZ1000,(+99412) 597-50-51,*** 1 səs,5,Restoranlar,http://www.megapolisclub.az
Megapolis Restoranı,Bakı,Nərimanov rayonu,Dadaşov İbrahim Paşa küçəsi,63D AZ1000,(+99412) 436-14-29,No Rating,4,Azərbaycan mətbəxi,No Site
Merci Baku,Bakı,Səbail rayonu,Asəf Zeynallı küçəsi,16 AZ1000,(+99412) 492-36-10,*** 4 səs,5,Restoranlar,http://www.facebook.com/mercibakurestaurant
Meşəbəyi Restoran,Bakı,Binəqədi rayonu,Cəfər Xəndan küçəsi,50 AZ1000,(+99412) 563-43-93,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Restoran-Meşəbəyi/207812249420353?sk=timeline&ref=page_internal
Metro Star restoranı,Bakı,Xətai rayonu,Sarayeva küçəsi,22A AZ1000,(+99412) 555-11-65,*** 1 səs,5,Restoranlar,http://www.facebook.com/pages/Metro-Star/505261752844027?fref=ts
Mezzo restoranı,Bakı,Yasamal rayonu,İzmir küçəsi,1033 AZ1000,(+99412) 496-12-34,No Rating,4,Restoranlar,http://www.baku.regency.hyatt.com
Midnight restoranı,Bakı,Nərimanov rayonu,Əhməd Rəcəbli küçəsi,16A AZ1000,(+99412) 564-44-41,No Rating,2,Restoranlar,http://www.facebook.com/pages/Midnight/314193328691483
Milana restoranı,Bakı,Nəsimi rayonu,Cəlil Məmmədquluzadə küçəsi,108 AZ1000,(+99412) 480-36-30,*** 4 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/MilanaRestaurantLounge/info?tab=page_info
Mont Inn Restaurant,Bakı,Ağa Nemətulla küçəsi,Nərimanov rayonu,48 AZ1033,(+99412) 567-94-81,No Rating,4,Restoranlar,http://www.montinnhotel.az
Moon Crown restoranı,Bakı,Bayıl qəsəbəsi,Qurban Abbasov küçəsi,Səbail rayonu,(+99412) 491-51-73,No Rating,4,Yeməyin çatdırılması,http://www.facebook.com/pages/Moon-Crown/192418560797682
Movida Restoran,Bakı,Səbail rayonu,Neftçilər prospekti,153 AZ1010,(+99412) 404-82-03,*** 2 səs,5,Restoranlar,http://www.portbaku-dining.az
Mozzarella Restoranı,Bakı,Nərimanov rayonu,Təbriz küçəsi,193 AZ1000,(+99412) 567-90-93,*** 2 səs,5,Restoranlar,http://www.mozzarella.az
Muğam Ocağı restoranı,Bakı,8-ci km. qəsəbəsi,Xətai rayonu,Babək prospekti,(+99412) 370-93-00,*** 1 səs,5,Restoranlar,http://www.facebook.com/pages/Muğam-Ocağı-Restoranı/808068752543924
Muğam restoranı,Bakı,Səbail rayonu,Həqiqət Rzayeva küçəsi,9 AZ1000,(+99412) 492-31-76,No Rating,4,Türk mətbəxi,No Site
Museum Inn Boutique Restaurant,Bakı,Səbail rayonu,Qazı Məmməd küçəsi,3,(+99412) 497-07-22,*** 1 səs,5,Restoranlar,http://www.museuminn.az
My Beach Novxanı,Bakı,Abşeron rayonu,Novхanı qəsəbəsi AZ1000,No Postal Address,No Phone,*** 1 səs,5,Restoranlar,http://www.mybeach.az
Namlı Kebab,Bakı,Səbail rayonu,Mərdanov qardaşları küçəsi,3 AZ1000,(+99412) 493-03-98,*** 1 səs,5,Türk mətbəxi,http://www.namlikebapbaku.az
Napoli restoranı,Bakı,Yasamal rayonu,İslam Səfərli küçəsi,16 AZ1000,(+99455) 200-06-30,No Rating,4,Restoranlar,http://www.facebook.com/pages/Napoli-Baku/133364226827842?fref=ts
Nar & Sharab restoranı,Bakı,Səbail rayonu,Namiq Quliyev küçəsi,24 AZ1000,(+99450) 241-01-01,No Rating,4,Restoranlar,http://www.facebook.com/pages/Nar-Sharab-Beach/551098988261553
National Azerbaijan Restaurant,Bakı,Nəsimi rayonu,İzmir küçəsi,5A AZ1000,(+99450) 210-37-08,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/RestoranNar/timeline
Naxçıvan Restoranı,Bakı,Yasamal rayonu,Parlament prospekti,8 AZ1000,(+99412) 480-85-85,*** 3 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/NakhchivanRestaurant
New Izmir Restaurant & Lounge,Bakı,Nəsimi rayonu,İzmir küçəsi,5 AZ1000,(+99450) 226-30-60,*** 2 səs,5,Restoranlar,http://www.facebook.com/newizmirrestaurant/timeline
New York Pizza Baku,Bakı,Nərimanov rayonu,Akademik Həsən Əliyev küçəsi,133 1072,(+99412) 564-14-12,No Rating,,Fast-fud,http://www.facebook.com/NewYorkPizzaBaku
Nişantaşı restoranı,Bakı,Yasamal rayonu,Mikayıl Müşfiq küçəsi,12 AZ1000,(+99412) 537-09-50,No Rating,4,Restoranlar,http://www.facebook.com/pages/Nisantasi-Restoran/339641576103550
Nizami Restaurant & Lounge,Bakı,Nəsimi rayonu,Bül-Bül prospekti,20 AZ1000,(+99412) 498-04-03,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Nizami-Restaurant-Lounge/770457919644958?sk=timeline
Noosh Restoranı,Bakı,Xətai rayonu,Babək prospekti,Ələddin Quliyev küçəsi,(+99412) 488-06-94,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/nooshrest/timeline
Notto Grill & Fish,Bakı,28 May küçəsi,Nəsimi rayonu,31 АZ1014,(+99412) 493-00-66,*** 3 səs,5,Suşi,http://www.facebook.com/notto.az
Nərgiz Restoranı,Bakı,Səbail rayonu,Tərlan Əliyarbəyov küçəsi,9 AZ1000,(+99412) 493-98-86,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/NARGIZ.RESTAURANT
Oazis Restoran,Bakı,8-ci mikrorayon,Binəqədi rayonu,Şövkət Məmmədova küçəsi,(+99412) 562-15-87,No Rating,4,Şadlıq evləri,http://www.facebook.com/OazisRestoran
Old Baku Restoran,Bakı,Səbail rayonu,Məmməd Əmin Rəsulzadə küçəsi,8 AZ1000,(+99412) 498-19-38,*** 2 səs,5,Restoranlar,http://www.qurman.az
Old Tbilisi restoranı,Bakı,Səbail rayonu,Tərlan Əliyarbəyov küçəsi,9 AZ1005,(+99412) 498-87-34,*** 5 səs,5,Gürcü mətbəxi,http://www.oldtbilisi.az
Oliva restoranı,Bakı,Nəsimi rayonu,Bakıxanov küçəsi,6 AZ1000,(+99412) 404-54-04,No Rating,4,Restoranlar,http://www.bic.az
Olivita Restoran,Bakı,Nəsimi rayonu,Mirzə İbrahimbəyov küçəsi,18 AZ1005,(+99412) 595-04-17,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Olivita-Restaurant/772153092863343?fref=pb&hc_location=profile_browser
Olympus Bar,Bakı,Yasamal rayonu,Tbilisi prospekti,22 AZ1000,(+99412) 490-70-90,No Rating,1,Kafelər,http://www.grand-europe.com
Opera Sky,Bakı,Xətai rayonu,Nobel prospekti,15 AZ1000,(+99450) 270-88-88,*** 3 səs,5,Restoranlar,http://www.facebook.com/OperaSkyBaku
Ora Lounge,Bakı,Nərimanov rayonu,Təbriz küçəsi,106A AZ1000,(+99412) 514-08-56,*** 4 səs,5,Azərbaycan mətbəxi,No Site
Orient House Restoranı,Bakı,Nəsimi rayonu,Mirqasımov küçəsi,2 AZ1000,(+99412) 440-76-12,No Rating,4,Şərq mətbəxi,http://www.facebook.com/OrientHouseLoungeRestaurant
Orman Restoranı,Bakı,Nərimanov rayonu,Əhmədbəy Ağaoğlu küçəsi,26 AZ1110,(+99412) 496 38 22,No Rating,4,Restoranlar,http://www.facebook.com/pages/Restaurant-Orman/146125365527046
Ornament restoranı,Bakı,Səbail rayonu,Salyan şossesi AZ1023,No Postal Address,(+99412) 491-73-03,No Rating,4,Azərbaycan mətbəxi,http://www.ramadabaku.com
Osmanlı Sofrası,Bakı,Nərimanov rayonu,Əhməd Rəcəbli küçəsi,25 AZ1052,(+99455) 300-53-68,No Rating,4,Türk mətbəxi,http://www.facebook.com/OsmanliSofrasiBaku/timeline
Otto Colonne Restoranı,Bakı,Səbail rayonu,İstiqlaliyyət küçəsi,10 AZ1000,(+99412) 505-07-70,*** 2 səs,5,Restoranlar,http://www.ottocolonne.az
Öz Kardeşlər Restoranı,Bakı,Xətai rayonu,Məhəmməd Hadi küçəsi,39D AZ1000,(+99412) 408-57-47,No Rating,4,Restoranlar,No Site
Özsüt restoranı,Bakı,Nərimanov rayonu,Atatürk prospekti,1 AZ1000,(+99412) 564-21-28,*** 3 səs,5,Türk mətbəxi,http://www.ozsut.az
Padişah restoranı,Bakı,Səbail rayonu,Xaqani küçəsi,26 AZ1000,(+99412) 598-15-52,No Rating,3,Türk mətbəxi,No Site
Palma Lounge,Bakı,Səbail rayonu,Fəvvarələr meydanı AZ1000,No Postal Address,(+99450) 728-66-66,*** 1 səs,5,Restoranlar,No Site
Panorama Klub,Bakı,Buzovna qəsəbəsi,Xəzər rayonu,Viktor Seryogin küçəsi,(+99412) 453-57-67,No Rating,4,Restoranlar,No Site
Panorama Restaurant,Bakı,Bayıl qəsəbəsi,Səbail rayonu,Xanlar küçəsi,(+99412) 491-67-17,*** 2 səs,5,Restoranlar,http://www.eastlegend.az
Panoramic Restaurant & Music Hall,Bakı,Səbail rayonu,Neftçilər prospekti,33 AZ1000,(+99412) 491-30-33,*** 2 səs,5,Restoranlar,http://www.facebook.com/PanoramicRMH
Paris Bistro,Bakı,Səbail rayonu,Zərifə Əliyeva küçəsi,1/4 AZ1010,(+99412) 404-82-15,No Rating,4,Kafelər,http://www.parisbistro.az
Park House,Bakı,Xətai rayonu,Neapol küçəsi AZ1129,No Postal Address,(+99412) 371-31-32,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/parkhousebaku/timeline?ref=page_internal
Paul Azərbaycan restoranı,Bakı,Səbail rayonu,Neftçilər prospekti,151 AZ1010,(+99455) 401-21-09,*** 4 səs,5,Kafelər,http://www.paul.az
Perfetto restoranı,Bakı,Yasamal rayonu,Bəşir Səfəroğlu küçəsi,133 AZ1000,(+99412) 597-18-97,No Rating,4,Azərbaycan mətbəxi,http://www.perfetto.az/index.php/az/
Perla by Gusto,Bakı,Nəsimi rayonu,Asif Məhərrəmov küçəsi,26B AZ1000,*1919,No Rating,,Fast-fud,http://www.perla.pizzagusto.az
Picasso by Marco Polo,Bakı,28 May küçəsi,Nəsimi rayonu,31 AZ1010,(+99412) 493-52-24,*** 1 səs,5,Restoranlar,No Site
Pip Dolma Evi,Bakı,Nəsimi rayonu,Süleyman Rüstəm küçəsi,8B АZ1000,(+99412) 408-11-67,No Rating,4,Azərbaycan mətbəxi,http://www.pipdolma.com
Pirosmani restoranı,Bakı,Səbail rayonu,Хaqani küçəsi,103 AZ1000,(+99412) 598-07-04,No Rating,4,Gürcü mətbəxi,http://www.pirosmani.az
Pizza Italiano,Bakı,Səbail rayonu,Səid Rüstəmov küçəsi,3 AZ1000,(+99412) 492-75-72,*** 2 səs,5,Pizza,No Site
Pizza Line,Bakı,Nəsimi rayonu,Rəşid Behbudov küçəsi,40 AZ1000,(+99412) 498-63-95,No Rating,4,Pizza,http://www.facebook.com/pages/Pizza-Line/165899313445870
Pool Bar Excelsior Hotel Baku,Bakı,Nərimanov rayonu,Heydər Əliyev prospekti,2 AZ1000,(+99412) 496-80-00,*** 3 səs,5,Restoranlar,http://www.excelsiorhotelbaku.az
Princ Qruziya 19 restoranı,Bakı,Nəsimi rayonu,Səməd Vurğun küçəsi,36 AZ1000,(+99412) 596-75-67,No Rating,3,Gürcü mətbəxi,No Site
Pəncərə restoranı,Bakı,Yasamal rayonu,Azad Mirzəyev küçəsi,583 AZ1065,(+99412) 510-37-00,No Rating,4,Restoranlar,No Site
Qala Qapısı Restoranı,Bakı,Nəsimi rayonu,Mir Cəlal küçəsi,1 AZ1000,(+99412) 555-14-77,*** 2 səs,5,Azərbaycan mətbəxi,No Site
Qaxac Kafe,Bakı,6-cı mikrorayon,Binəqədi rayonu,Mirmahmud Kazımov küçəsi AZ1000,(+99450) 345-95-34,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/qaxackafe/timeline
Qaynar Qazan Restoranı,Bakı,Xətai rayonu,Məzahir Rüstəmov küçəsi,35 AZ1000,(+99470) 508-71-71,No Rating,4,Azərbaycan mətbəxi,No Site
Qazmaq Restoranı,Bakı,Səbail rayonu,Kiçik Qala küçəsi,124 AZ1000,(+99412) 505-22-26,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/qazmaq
Qızıl Balıq Restoranı,Bakı,Badamdar qəsəbəsi,Səbail rayonu,Badamdar şossesi,(+99470) 615-58-18,No Rating,4,Azərbaycan mətbəxi,No Site
Qoç Ət,Bakı,Yasamal rayonu,Zivərbəy Əhmədbəyov küçəsi,2 AZ1000,(+99412) 594-04-03,No Rating,4,Azərbaycan mətbəxi,No Site
Qoç Ət Nərimanov r.,Bakı,Nərimanov rayonu,Təbriz küçəsi,10 AZ1000,(+99412) 489-87-71,*** 5 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Qoc-Et-Restoran/1577195325834162
Qorodok restoranı,Bakı,Abdulla Şaiq küçəsi,Yasamal rayonu,245 AZ1000,(+99412) 480-25-30,*** 1 səs,5,Restoranlar,http://www.qorodok.az
Qoşa Qala restoranı,Bakı,Mərdəkan qəsəbəsi,Xəzər rayonu,Hacı Zeynalabdin Tağıyev küçəsi,(+99412) 454-89-54,*** 2 səs,5,Restoranlar,http://www.qoshaqala.az
