Name,City,District,Street,Postal Address,Phone,Votes,Rating Stars,Kind,Site
Dalloyau Baku,Bakı,Səbail rayonu,Neftçilər prospekti,111 AZ1000,(+99412) 493-40-10,*** 4 səs,5,Kafelər,http://www.dalloyau.com
Damla Restoranı,Bakı,Səbail rayonu,Şiхov qəsəbəsi,Salyan şossesi,(+99412) 565-19-65,*** 1 səs,5,Restoranlar,No Site
Daş Dövrü Restoranı,Bakı,Yasamal rayonu,Mətbuat prospekti,Şəhriyar küçəsi,(+99412) 510-56-05,No Rating,4,Restoranlar,No Site
De Luxe Fast Food,Bakı,Səbail rayonu,Üzeyir Hacıbəyov küçəsi,95 AZ1000,(+99412) 598-02-32,*** 1 səs,5,Fast-fud,No Site
Del Grano,Bakı,Səbail rayonu,Neftçilər prospekti AZ1001,No Postal Address,(+99412) 598-73-30,*** 2 səs,5,Pizza,No Site
Delicia restoranı,Bakı,Nəsimi rayonu,Səməd Vurğun küçəsi,77 AZ1000,(+99450) 300-46-46,*** 3 səs,5,Restoranlar,http://www.delicia.az
Diamond Restoranı,Bakı,Nərimanov rayonu,Təbriz küçəsi,116 AZ1000,(+99412) 566-21-69,*** 1 səs,5,Kafelər,http://www.facebook.com/diamond.restaurant.lounge
Diet Cafe,Bakı,Nəsimi rayonu,Eldar Tağızadə küçəsi,30 AZ1000,(+99450) 589-00-50,*** 3 səs,5,Kafelər,No Site
Dilək Qapısı Restoranı,Bakı,Yasamal rayonu,Haqverdiyev küçəsi,26 AZ1000,(+99450) 201-20-17,*** 4 səs,5,Restoranlar,No Site
Domik Restoranı,Bakı,Nəsimi rayonu,Bəşir Səfəroğlu küçəsi,184 AZ1014,(+99412) 598-20-92,No Rating,4,Kafelər,http://www.facebook.com/pages/Ресторан-Домик-Баку/176614802433321?sk=timeline&ref=page_internal
Dominos Pizza,Bakı,Yasamal rayonu,Mikayıl Müşfiq küçəsi,9A AZ1006,*6600,No Rating,4,Fast-fud,http://www.dominospizza.az
Dominos Pizza Azadlıq pr-t,Bakı,Azadlıq prospekti,Səbail rayonu,3 AZ1000,*6611,*** 2 səs,5,Fast-fud,http://www.dominospizza.az
Dostluq Beach Restoranı,Bakı,Xəzər rayonu,Şiхov qəsəbəsi,Sahil AZ1000,(+99451) 853-19-31,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/DostlugBeach
DUBLYOR PRODAKŞN,Bakı,No District,No Street,No Postal Address,+994506490909,No Rating,,,http://https://www.facebook.com/CANAPEBAKU/
Dubrovka restoranı,Bakı,Nizami rayonu,Qara Qarayev prospekti,59 AZ1000,(+99412) 375-03-01,No Rating,4,Restoranlar,No Site
Duz Restoranı,Bakı,Nərimanov rayonu,Əliəşrəf Əlizadə küçəsi,45 AZ1000,(+99412) 409-30-03,No Rating,4,Restoranlar,http://www.duz.lu
Dəniz Inciləri Restoranı,Bakı,Nərimanov rayonu,Akademik Həsən Əliyev küçəsi,74 AZ1000,(+99412) 440-25-24,No Rating,4,Restoranlar,http://www.facebook.com/pages/D%C9%99niz-Incil%C9%99ri-Restorant/418472578301612
Dəniz Restoranı,Bakı,Nizami rayonu,Elşən Süleymanov küçəsi,126 AZ1000,(+99412) 511-89-80,No Rating,4,Türk mətbəxi,No Site
Dənizçi Restoranı,Bakı,Xətai rayonu,Məhəmməd Hadi küçəsi,4 AZ1000,(+99412) 579-34-36,No Rating,3,Restoranlar,No Site
Dərya Fish House,Bakı,Səbail rayonu,Namiq Quliyev küçəsi,57 АZ1000,(+99450) 753-47-47,*** 3 səs,5,Restoranlar,http://www.deryafishhouse.az
El Portalon restoranı,Bakı,Bayıl qəsəbəsi,Səbail rayonu,Neftçilər prospekti AZ1000,(+99412) 404-82-17,*** 4 səs,5,Restoranlar,http://www.elportalon.az
Elba Balıq Restoranı,Bakı,Nərimanov rayonu,Həsənoğlu küçəsi,6 AZ1033,(+99412) 566-74-84,*** 6 səs,5,Restoranlar,http://www.facebook.com/pages/ELBA-SEA-FOOD/862422397143183
Elbara,Bakı,Yasamal rayonu,Zahid Xəlilov küçəsi,568 AZ1000,(+99412) 510-37-87,*** 2 səs,5,Restoranlar,http://www.facebook.com/elbaraaz?fref=ts
Elektra Events Hall,Bakı,Bayıl qəsəbəsi,Səbail rayonu AZ1000,No Postal Address,(+99450) 700-70-97,No Rating,4,Restoranlar,http://www.saffron.az/en/restaurants/elektra
Element Logune Baku,Bakı,Nəsimi rayonu AZ1000,No Street,No Postal Address,+994 50 484 60 60,No Rating,,Azərbaycan mətbəxi,http://element.az
Elephant,Bakı,Səbail rayonu,Natəvan döngəsi,1 AZ1000,(+99412) 498-87-52,*** 3 səs,5,Kafelər,http://www.facebook.com/pages/Elephant/209902289044230
Eleven Restaurant & Lounge,Bakı,Azadlıq prospekti,Səbail rayonu,1 AZ1000,(+99412) 490-60-00,No Rating,4,Asiya mətbəxi,http://www.eleven.az
Elif Restoran Sahil m.,Bakı,Səbail rayonu,Üzeyir Hacıbəyov küçəsi,70 AZ1000,(+99412) 598-11-05,No Rating,4,Yeməyin çatdırılması,http://www.elifcatering.az
Elit Ailəvi Türk Restoran,Bakı,Nizami rayonu,Qara Qarayev prospekti,107 AZ1000,(+99412) 570-30-66,*** 3 səs,5,Türk mətbəxi,No Site
